ID;supplierName;contractType;category;region;terms;validFrom;validTo
d3f1a2c0-0001-4a01-9b01-000000000001;Acme Steel Werke GmbH;framework;raw-materials;EMEA;"Contract CTR-2026-042. Framework agreement covering hot-rolled and cold-rolled steel coils, 0.5-4mm gauge, up to 24,000 tonnes per year. Lead time 14-21 days ex-Duisburg. Payment 30 days net. Force-majeure clause excludes labour disputes. Price re-negotiation every 6 months tied to LME index +/- 4%. Buyer contact: sup-42.";2026-01-01;2027-12-31
d3f1a2c0-0002-4a01-9b02-000000000002;Nord Metallwerke AS;framework;raw-materials;EMEA;"Contract CTR-2026-043. Aluminium billets and extrusion profiles, T6 temper preferred. Annual volume 8,000 tonnes. Delivery FCA Stavanger, 10-14 day lead time. Payment 45 days net. Green-electricity certificate required per delivery — supplier must provide guarantees-of-origin. Buyer contact: sup-08.";2026-03-01;2028-02-29
d3f1a2c0-0003-4a01-9b03-000000000003;Pacifica Freight Solutions;sla;logistics;APAC;"Contract CTR-2026-101. Ocean-freight SLA covering Singapore-Rotterdam and Shanghai-Hamburg lanes. Guaranteed 32-day port-to-port with liquidated damages at 0.5% per day of delay, capped at 15% of freight value. Fuel surcharge indexed to BAF. Container equipment guarantee 40'HC. Buyer contact: sup-19.";2026-02-15;2027-02-14
d3f1a2c0-0004-4a01-9b04-000000000004;Rheinland IT Consulting AG;sow;IT-services;EMEA;"Contract CTR-2026-201. SAP S/4HANA rollout SOW, phase 2 (Finance + Procurement). 220 consulting days at daily rate 1,450 EUR. Milestone-based payment: 20% kickoff, 40% design freeze, 30% UAT sign-off, 10% hypercare complete. Change requests via CR-BOARD process, 5-day approval cycle. Buyer contact: sup-77.";2026-04-01;2026-12-31
d3f1a2c0-0005-4a01-9b05-000000000005;GreenPack Logistics BV;framework;logistics;EMEA;"Contract CTR-2026-102. Cross-docking + last-mile framework for EU-DACH region. 3,000 pallet positions committed at warehouse Venlo. Same-day dispatch cutoff 15:00 CET. Return-logistics included at 0.35 EUR per parcel. Carbon-neutral option available at +8% premium — supplier furnishes verified offsets. Buyer contact: sup-31.";2026-01-15;2027-12-31
d3f1a2c0-0006-4a01-9b06-000000000006;Chennai Textiles Pvt Ltd;framework;raw-materials;APAC;"Contract CTR-2026-044. Cotton and cotton-polyester blend fabrics, GSM 140-320, OEKO-TEX certified. Minimum order 20,000 metres per SKU. Lead time 45 days FOB Chennai. Payment LC at sight. Colour-matching to Pantone TCX with delta-E tolerance 1.5. Third-party inspection at supplier cost. Buyer contact: sup-56.";2026-06-01;2028-05-31
d3f1a2c0-0007-4a01-9b07-000000000007;Continental Chemicals Ltd;framework;raw-materials;AMER;"Contract CTR-2026-045. Solvents and industrial chemicals (acetone, ethanol, IPA). Delivery via ISO tank container, min 20,000 L per drop. Payment 30 days net. Safety data sheets in EN/DE/FR. Emergency response covered via CHEMTREC contract MTC-4471. Change-of-formulation notification 60 days advance. Buyer contact: sup-62.";2026-05-01;2027-04-30
d3f1a2c0-0008-4a01-9b08-000000000008;Sakura Precision Bearings KK;framework;raw-materials;APAC;"Contract CTR-2026-046. High-precision ball bearings, ISO grade P4 and P2. Annual commit 180,000 units mixed sizes 6001-6210. Lead time 60 days ex-Osaka. FOB Osaka; buyer arranges freight. Quality — 3-sigma dimensional; PPAP required for new part numbers. Warranty 24 months from delivery. Buyer contact: sup-88.";2026-02-01;2028-01-31
d3f1a2c0-0009-4a01-9b09-000000000009;Heartland Trucking Inc;sla;logistics;AMER;"Contract CTR-2026-103. North-America inland trucking SLA covering CN-US-MX FTL loads. 48-hour transit standard, 72-hour for cross-border with T&E clearance. Rate card tied to DAT spot index +/- 6%. Liquidated damages for missed appointments at 250 USD per event. Dry-van equipment guarantee 53'. Buyer contact: sup-14.";2026-03-01;2027-02-28
d3f1a2c0-000a-4a01-9b0a-000000000010;Nordvind Wind Services;sow;IT-services;EMEA;"Contract CTR-2026-202. Predictive-maintenance analytics for offshore wind turbines. Data ingest via secure Azure Data Lake + edge gateway. Delivery: quarterly failure-mode reports + real-time anomaly-detection dashboard. Retainer 42,000 EUR / month for 90 assets. IP: joint-ownership on new models; supplier retains base ML tooling. Buyer contact: sup-53.";2026-01-01;2027-12-31
